16.192,4.2376,428,1.893,66.272,5
15.427,2.9703,300,1.6522,56.952,5
5.1277,1.1782,119,1.2763,18.728,5
9.4462,2.3168,234,1.6724,29.316,5
8.9604,1.8218,184,1.4781,26.307,5
9.0011,1.9802,200,1.5563,26.599,5
7.8614,1.5545,157,1.3965,23.15,5
8.3223,1.802,182,1.4805,23.897,5
8.4302,1.703,172,1.4564,26.048,5
8.7573,2.0297,205,1.5309,26.34,5
8.5105,1.6238,164,1.4652,24.249,5
9.2832,2.0495,207,1.6487,28.856,5
8.1139,1.7525,177,1.4769,22.967,5
9.8661,2.2772,230,1.6505,30.861,5
8.5228,2.099,212,1.6514,26.958,5
7.9204,1.5248,154,1.3749,23.379,5
7.9599,1.7624,178,1.5392,23.289,5
8.9376,1.802,182,1.4627,25.893,5
8.4321,1.8317,185,1.5343,24.601,5
11.043,2.6238,265,1.7879,35.366,5
10.219,2.4059,243,1.6231,32.056,5
8.2182,1.8317,185,1.5225,23.577,5
9.4323,2.2772,230,1.625,30.068,5
8.3124,1.8218,184,1.5004,25.53,5
9.3689,2.1782,220,1.5949,31.462,5
8.9137,2.2178,224,1.6345,30.154,5
8.7458,1.8614,188,1.5013,25.718,5
8.9745,1.9604,198,1.5658,27.218,5
7.8569,1.6238,164,1.4111,21.644,5
9.1121,2.0099,203,1.6438,29.201,5
8.4891,1.9406,196,1.5425,26.623,5
10.801,2.7228,275,1.783,37.884,5
8.6759,1.901,192,1.6031,30.885,5
8.8082,2.0099,203,1.5173,25.91,5
8.3577,1.901,192,1.525,24.403,5
9.0602,2.0495,207,1.5551,27.976,5
8.649,1.8119,183,1.6201,25.711,5
8.0122,1.9307,195,1.5953,23.792,5
8.6013,1.703,172,1.4929,26.545,5
7.7298,1.5545,157,1.4314,22.741,5
8.2486,1.7723,179,1.4798,24.481,5
8.9608,2.3762,240,1.7872,27.04,5
9.2089,2.0792,210,1.5512,32.753,5
10.189,2.4653,249,1.7886,33.845,5
8.4216,1.6832,170,1.4542,26.405,5
9.3775,2.2079,223,1.7081,29.45,5
8.8189,1.9604,198,1.506,25.756,5
8.2362,1.7228,174,1.399,23.15,5
9.1212,2.3762,240,1.635,27.61,5
8.8515,1.7525,177,1.549,26.438,5
