19.674,20.205,3.4752,3.9109,351,395,1.6513,1.7533,81.127,83.605,2
19.83,19.623,3.198,3.6436,323,368,1.6046,1.6822,80.488,80.457,2
19.842,19.663,3.5842,4.0099,362,405,1.6837,1.6989,82.485,81.749,2
20.294,20.257,4.2871,3.8713,433,391,1.7202,1.7363,84.675,84.139,2
20.072,20.454,4.198,4.0792,424,412,1.7214,1.72,83.746,86.89,2
20.223,20.449,4.2178,4.3564,426,440,1.7354,1.7713,84.057,84.944,2
20.026,20.688,4.0594,4.6238,410,467,1.6877,1.8204,82.434,85.907,2
19.939,20.172,4.198,4.4059,424,445,1.7088,1.7404,84.009,84.919,2
19.752,20.163,3.8317,4.297,387,434,1.724,1.7582,82.427,84.086,2
20.569,20.345,3.8812,3.9703,392,401,1.6857,1.7458,85.909,84.836,2
20.194,19.911,4.099,3.3366,414,337,1.6983,1.6358,83.799,81.581,2
20.37,20.197,4.1881,3.5545,423,359,1.7263,1.6733,85.552,84.189,2
20.762,20.477,4.5149,4.0594,456,410,1.7905,1.7242,88.411,86.708,2
19.938,20.029,3.9802,4.0792,402,412,1.6826,1.7173,82.559,83.231,2
19.847,20.171,4,4.1386,404,418,1.7205,1.6928,82.423,84.396,2
20.618,20.403,4.297,4.2178,434,426,1.7166,1.7111,85.96,85.427,2
20.23,20.31,4.0297,4.2079,407,425,1.6991,1.782,84.491,85.267,2
19.629,19.748,3.4455,4.1188,348,416,1.6747,1.6932,81.532,81.794,2
20.204,20.132,3.505,4.0693,354,411,1.6531,1.735,84.578,83.402,2
20.32,19.937,3.6832,3.8317,372,387,1.6896,1.7015,85.153,83.073,2
19.876,19.85,3.5248,3.7723,356,381,1.6555,1.6989,82.125,82.106,2
20.631,20.508,4.0792,4.0891,412,413,1.716,1.7428,86.365,85.09,2
20.163,20.08,4.2475,4,429,404,1.7177,1.6807,84.031,83.846,2
20.599,20.244,4.3564,3.8614,440,390,1.7141,1.6974,86.762,84.976,2
20.923,20.744,4.297,4.1188,434,416,1.7595,1.7632,87.476,86.144,2
20.201,20.273,4.1881,4.3069,423,435,1.7316,1.7332,83.634,84.307,2
20.006,20.351,4.3861,4.4356,443,448,1.7405,1.8109,83.704,85.947,2
20.214,20.272,3.9406,4.099,398,414,1.7346,1.7147,84.938,84.994,2
19.666,20.046,3.7228,3.9604,376,400,1.6784,1.6743,80.968,82.825,2
20.111,19.984,3.8911,3.9307,393,397,1.6878,1.6984,82.618,82.353,2
19.948,19.732,4.1881,4.2079,423,425,1.798,1.7227,82.633,81.506,2
19.794,19.573,3.9307,3.4554,397,349,1.7301,1.6739,83.101,83.014,2
20.403,20.336,4.297,4.0693,434,411,1.7303,1.7101,85.196,84.094,2
19.854,20.278,4.099,4.2277,414,427,1.6841,1.7133,81.928,84.234,2
20.398,20.437,4.1683,4.1683,421,421,1.7226,1.717,85.084,85.482,2
