19.714,15.543,4,3.0392,204,155,1.5403,1.4918,81.388,57.4,0
18.724,14.528,3.5098,2.5686,179,131,1.4918,1.3402,77.356,53.225,0
18.976,14.568,4.2353,2.7647,216,141,1.5921,1.3714,78.033,53.036,0
19.104,14.758,3.5882,2.7059,183,138,1.4749,1.4569,78.637,54.764,0
19.341,14.852,3.6078,2.6275,184,134,1.4847,1.4305,78.213,54.055,0
19.471,14.918,4.2941,3.1569,219,161,1.5885,1.5423,80.315,55.984,0
19.146,14.971,3.6078,2.9216,184,149,1.5064,1.4491,78.652,54.821,0
19.601,15.214,3.7059,2.7059,189,138,1.5087,1.4182,81.448,56.675,0
19.796,14.409,3.8824,2.5882,198,132,1.6235,1.3415,82.625,52.536,0
19.169,14.353,3.6471,2.549,186,130,1.5139,1.3787,79.105,52.508,0
19.5,14.684,3.1961,2.6667,163,136,1.4372,1.3486,80.004,53.944,0
19.402,14.836,3.549,2.7843,181,142,1.5225,1.5553,79.537,54.9,0
19.761,15.091,3.1765,2.5882,162,132,1.4688,1.3718,81.071,55.547,0
20.833,14.937,4.1765,3,213,153,1.7092,1.4367,86.877,55.837,0
18.997,15.005,3.098,2.5686,158,131,1.4455,1.4945,79.064,56.271,0
19.782,14.964,3.2941,2.549,168,130,1.5262,1.4693,81.95,54.599,0
19.145,14.492,3.2353,2.2745,165,116,1.4372,1.3237,78.962,53.176,0
19.09,14.653,3.1176,2.1373,159,109,1.4491,1.3222,79.193,54.594,0
19.275,14.985,2.7647,2.3529,141,120,1.4253,1.4058,79.117,54.644,0
19.188,14.549,3.1373,2.0784,160,106,1.4466,1.2829,78.376,52.93,0
19.081,14.76,2.9412,2.0392,150,104,1.425,1.3187,78.169,54.445,0
19.264,15.207,3.5098,2.4314,179,124,1.4798,1.4078,78.404,55.414,0
19.341,14.571,3.6275,1.7255,185,88,1.5236,1.2327,79.424,52.799,0
18.994,14.413,3.6275,1.9608,185,100,1.5372,1.3749,78.428,53.62,0
19.214,14.892,3.7451,2.3137,191,118,1.5361,1.4044,78.628,53.357,0
19.057,14.297,3.7451,2.5098,191,128,1.4985,1.3702,77.749,52.183,0
18.451,13.794,3.4118,2.098,174,107,1.4727,1.2664,75.752,49.539,0
19.088,14.603,3.8039,2.2353,194,114,1.5231,1.4548,78.988,53.24,0
19.222,14.85,3.6275,3.0196,185,154,1.5041,1.4776,80.015,54.637,0
19.034,14.408,3.7255,2.7843,190,142,1.5869,1.5211,78.085,53.228,0
19.106,14.673,3.4902,2.2157,178,113,1.4548,1.2714,78.508,53.94,0
19.143,14.838,3.549,2.6275,181,134,1.4655,1.4672,78.773,53.969,0
